ID,location,profile_HWD,household_size,heater_type,has_solar,control_type,tariff_type,new_system,old_heater,ID,net_present_cost,payback_period,LCOHW,capital_cost,annual_energy_cost,daily_supply_cost,oandm_cost,others_cost,rebates,disconnection_costs,solar_ratio_real,annual_fit_opp_cost,emissions_total,annual_energy_consumption
36,800,1,2,premium_heat_pump,FALSE,CL3,CL,TRUE,none,36,7145.651631,,0.952191801,5263,101.3743255,0,200,,0,0,0,0,0.28103757,385.8938922
37,800,1,2,premium_heat_pump,TRUE,GS,flat,TRUE,none,37,7036.196293,,0.937579366,5263,83.85274681,0,200,,0,0,0.316388381,12.60410614,0.31916892,436.3357009
38,800,1,2,premium_heat_pump,TRUE,GS,tou,TRUE,none,38,7067.509395,,0.941751865,5263,88.86533915,0,200,,0,0,0.316388381,12.60410614,0.31916892,436.3357009
39,800,1,2,premium_heat_pump,TRUE,CL1,CL,TRUE,none,39,7179.624339,,0.956720761,5263,106.8126667,0,200,,0,0,0,0,0.296658724,406.59561
40,800,1,2,premium_heat_pump,TRUE,CL2,CL,TRUE,none,40,7095.385845,,0.945481344,5263,93.32779322,0,200,,0,0,0.170700826,6.822710736,0.313129458,428.390362
41,800,1,2,premium_heat_pump,TRUE,CL3,CL,TRUE,none,41,6751.951532,,0.899729405,5263,38.35092826,0,200,,0,0,0.621689929,22.38326213,0.28103757,385.8938922
42,800,1,2,premium_heat_pump,TRUE,timer_SS,flat,TRUE,none,42,6633.814191,,0.883988942,5263,19.43953696,0,200,,0,0,0.823277113,29.41188285,0.285803612,391.2965401
43,800,1,3,resistive,FALSE,GS,flat,TRUE,none,43,5658.617079,,0.502703714,1210,512.1333283,0,200,,0,0,0,0,1.329616424,1821.78
44,800,1,3,resistive,FALSE,GS,tou,TRUE,none,44,6047.077289,,0.537213982,1210,574.3179257,0,200,,0,0,0,0,1.329616424,1821.78
45,800,1,3,resistive,FALSE,CL1,CL,TRUE,none,45,5269.425903,,0.468120095,1210,449.831718,0,200,,0,0,0,0,1.249304318,1712.34
46,800,1,3,resistive,FALSE,CL2,CL,TRUE,none,46,5428.050517,,0.482220351,1210,475.2243,0,200,,0,0,0,0,1.32251728,1809
47,800,1,3,resistive,FALSE,timer_OP,tou,TRUE,none,47,5466.889369,,0.48567115,1210,481.4416121,0,200,,0,0,0,0,1.281136899,1753.74
48,800,1,3,resistive,FALSE,CL3,CL,TRUE,none,48,5389.058992,,0.478748812,1210,468.982548,0,200,,0,0,0,0,1.301637436,1785.24
49,800,1,3,resistive,TRUE,GS,flat,TRUE,none,49,5367.895232,,0.476876387,1210,465.5946596,0,200,,0,0,0.090872174,15.11463359,1.329616424,1821.78
50,800,1,3,resistive,TRUE,GS,tou,TRUE,none,50,5710.847051,,0.507343753,1210,520.494287,0,200,,0,0,0.090872174,15.11463359,1.329616424,1821.78
51,800,1,3,resistive,TRUE,CL1,CL,TRUE,none,51,5269.425903,,0.468120095,1210,449.831718,0,200,,0,0,0,0,1.249304318,1712.34
52,800,1,3,resistive,TRUE,CL2,CL,TRUE,none,52,5264.476326,,0.46768865,1210,449.0393911,0,200,,0,0,0.055100105,9.299779231,1.32251728,1809
53,800,1,3,resistive,TRUE,CL3,CL,TRUE,none,53,4637.851635,,0.412013668,1210,348.7294928,0,200,,0,0,0.256412644,42.70883157,1.301637436,1785.24
54,800,1,3,resistive,TRUE,timer_SS,flat,TRUE,none,54,4172.093286,,0.37063221,1210,274.1710317,0,200,,0,0,0.432699578,67.91701644,1.25525523,1719.18
55,800,1,3,resistive,TRUE,diverter,tou,TRUE,none,55,4830.265372,,0.429103705,2310,203.4433478,0,200,,0,0,0.555299557,90.849844,1.306905454,1791.9508
56,800,1,3,resistive,TRUE,diverter,CL,TRUE,none,56,4867.105604,,0.432376461,2310,209.3407214,0,200,,0,0,0.555299557,92.83998297,1.306905454,1791.9508
57,800,1,3,solar_thermal,FALSE,GS,flat,TRUE,none,57,8119.213588,,0.741202262,6500,59.2032402,0,200,,0,0,0.624980109,0,0.154330237,210.6
58,800,1,3,solar_thermal,FALSE,GS,tou,TRUE,none,58,8184.654617,,0.747176368,6500,69.67902114,0,200,,0,0,0.624980109,0,0.154330237,210.6
59,800,1,3,gas_instant,FALSE,GS,gas,TRUE,none,59,5462.423027,,0.279262256,1323,462.6376343,0,200,,0,0,0,0,0.412012531,3066.036496
60,800,1,3,gas_storage,FALSE,GS,gas,TRUE,none,60,6691.666981,,0.594462267,1705,598.2642,0,200,,0,0,0,0,0.532800464,2529.444444
61,800,1,3,standard_heat_pump,FALSE,GS,flat,TRUE,none,61,5192.173404,,0.461248607,2299,263.1383572,0,200,,0,0,0,0,0.683838676,936.0456933
62,800,1,3,standard_heat_pump,FALSE,GS,tou,TRUE,none,62,5289.79597,,0.469920943,2299,278.7657491,0,200,,0,0,0,0,0.683838676,936.0456933
63,800,1,3,standard_heat_pump,FALSE,CL1,CL,TRUE,none,63,4952.826451,,0.439991765,2299,224.8237664,0,200,,0,0,0,0,0.623895182,855.8194381
64,800,1,3,standard_heat_pump,FALSE,CL2,CL,TRUE,none,64,5084.339617,,0.451672529,2299,245.8763558,0,200,,0,0,0,0,0.683625218,935.9587204
65,800,1,3,standard_heat_pump,FALSE,timer_OP,tou,TRUE,none,65,4893.12566,,0.434688157,2299,215.2668812,0,200,,0,0,0,0,0.621353772,851.3855682
66,800,1,3,standard_heat_pump,FALSE,CL3,CL,TRUE,none,66,4969.014677,,0.441430138,2299,227.415173,0,200,,0,0,0,0,0.632067208,865.6839477
67,800,1,3,standard_heat_pump,TRUE,GS,flat,TRUE,none,67,4655.728456,,0.413593325,2299,177.2644059,0,200,,0,0,0.326345244,27.88978165,0.683838676,936.0456933
68,800,1,3,standard_heat_pump,TRUE,GS,tou,TRUE,none,68,4662.553116,,0.414199597,2299,178.3568954,0,200,,0,0,0.326345244,27.88978165,0.683838676,936.0456933
69,800,1,3,standard_heat_pump,TRUE,CL1,CL,TRUE,none,69,4952.826451,,0.439991765,2299,224.8237664,0,200,,0,0,0,0,0.623895182,855.8194381
70,800,1,3,standard_heat_pump,TRUE,CL2,CL,TRUE,none,70,4724.917782,,0.419742921,2299,188.3402131,0,200,,0,0,0.234004374,20.43441994,0.683625218,935.9587204
71,800,1,3,standard_heat_pump,TRUE,CL3,CL,TRUE,none,71,4300.693734,,0.382058808,2299,120.4305507,0,200,,0,0,0.470437486,37.99644181,0.632067208,865.6839477
72,800,1,3,standard_heat_pump,TRUE,timer_SS,flat,TRUE,none,72,3770.548205,,0.334962039,2299,35.56500875,0,200,,0,0,0.843575994,62.29130042,0.590637131,808.7837324
